type,schedule-identifier,schedule-name,schedule-cohort-year,milestone-name,milestone-declaration-type,milestone-start-date,milestone-date,milestone-payment-date
ecf_extended,ecf-extended-september,ECF Extended September,2021,Output 1 - Participant Start,started,01/09/2021,,01/09/2021
ecf_extended,ecf-extended-september,ECF Extended September,2021,Output 2 - Retention Point 1,retained-1,01/09/2021,,01/09/2021
ecf_extended,ecf-extended-september,ECF Extended September,2021,Output 3 - Retention Point 2,retained-2,01/09/2021,,01/09/2021
ecf_extended,ecf-extended-september,ECF Extended September,2021,Output 4 - Retention Point 3,retained-3,01/09/2021,,01/09/2021
ecf_extended,ecf-extended-september,ECF Extended September,2021,Output 5 - Retention Point 4,retained-4,01/09/2021,,01/09/2021
ecf_extended,ecf-extended-september,ECF Extended September,2021,Output 6 - Participant Completion,completed,01/09/2021,,01/09/2021
ecf_extended,ecf-extended-january,ECF Extended January,2021,Output 1 - Participant Start,started,01/01/2022,,01/01/2022
ecf_extended,ecf-extended-january,ECF Extended January,2021,Output 2 - Retention Point 1,retained-1,01/01/2022,,01/01/2022
ecf_extended,ecf-extended-january,ECF Extended January,2021,Output 3 - Retention Point 2,retained-2,01/01/2022,,01/01/2022
ecf_extended,ecf-extended-january,ECF Extended January,2021,Output 4 - Retention Point 3,retained-3,01/01/2022,,01/01/2022
ecf_extended,ecf-extended-january,ECF Extended January,2021,Output 5 - Retention Point 4,retained-4,01/01/2022,,01/01/2022
ecf_extended,ecf-extended-january,ECF Extended January,2021,Output 6 - Participant Completion,completed,01/01/2022,,01/01/2022
ecf_extended,ecf-extended-april,ECF Extended April,2021,Output 1 - Participant Start,started,01/04/2022,,01/04/2022
ecf_extended,ecf-extended-april,ECF Extended April,2021,Output 2 - Retention Point 1,retained-1,01/04/2022,,01/04/2022
ecf_extended,ecf-extended-april,ECF Extended April,2021,Output 3 - Retention Point 2,retained-2,01/04/2022,,01/04/2022
ecf_extended,ecf-extended-april,ECF Extended April,2021,Output 4 - Retention Point 3,retained-3,01/04/2022,,01/04/2022
ecf_extended,ecf-extended-april,ECF Extended April,2021,Output 5 - Retention Point 4,retained-4,01/04/2022,,01/04/2022
ecf_extended,ecf-extended-april,ECF Extended April,2021,Output 6 - Participant Completion,completed,01/04/2022,,01/04/2022
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 1 - Participant Start,started,01/09/2022,,01/09/2022
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 2 - Retention Point 1,retained-1,01/09/2022,,01/09/2022
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 3 - Retention Point 2,retained-2,01/09/2022,,01/09/2022
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 4 - Retention Point 3,retained-3,01/09/2022,,01/09/2022
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 5 - Retention Point 4,retained-4,01/09/2022,,01/09/2022
ecf_extended,ecf-extended-september,ECF Extended September,2022,Output 6 - Participant Completion,completed,01/09/2022,,01/09/2022
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 1 - Participant Start,started,01/01/2023,,01/01/2023
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 2 - Retention Point 1,retained-1,01/01/2023,,01/01/2023
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 3 - Retention Point 2,retained-2,01/01/2023,,01/01/2023
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 4 - Retention Point 3,retained-3,01/01/2023,,01/01/2023
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 5 - Retention Point 4,retained-4,01/01/2023,,01/01/2023
ecf_extended,ecf-extended-january,ECF Extended January,2022,Output 6 - Participant Completion,completed,01/01/2023,,01/01/2023
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 1 - Participant Start,started,01/04/2023,,01/04/2023
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 2 - Retention Point 1,retained-1,01/04/2023,,01/04/2023
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 3 - Retention Point 2,retained-2,01/04/2023,,01/04/2023
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 4 - Retention Point 3,retained-3,01/04/2023,,01/04/2023
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 5 - Retention Point 4,retained-4,01/04/2023,,01/04/2023
ecf_extended,ecf-extended-april,ECF Extended April,2022,Output 6 - Participant Completion,completed,01/04/2023,,01/04/2023
ecf_reduced,ecf-reduced-september,ECF Reduced September,2021,Output 1 - Participant Start,started,01/09/2021,,01/09/2021
ecf_reduced,ecf-reduced-september,ECF Reduced September,2021,Output 2 - Retention Point 1,retained-1,01/09/2021,,01/09/2021
ecf_reduced,ecf-reduced-september,ECF Reduced September,2021,Output 3 - Retention Point 2,retained-2,01/09/2021,,01/09/2021
ecf_reduced,ecf-reduced-september,ECF Reduced September,2021,Output 4 - Retention Point 3,retained-3,01/09/2021,,01/09/2021
ecf_reduced,ecf-reduced-september,ECF Reduced September,2021,Output 5 - Retention Point 4,retained-4,01/09/2021,,01/09/2021
ecf_reduced,ecf-reduced-september,ECF Reduced September,2021,Output 6 - Participant Completion,completed,01/09/2021,,01/09/2021
